Phenotype,GUIDE Lat0_Contrib,GUIDE Lat0_LogW,GUIDE Lat0_Cos,GUIDE Lat1_Contrib,GUIDE Lat1_LogW,GUIDE Lat1_Cos,GUIDE Lat2_Contrib,GUIDE Lat2_LogW,GUIDE Lat2_Cos,GUIDE Lat3_Contrib,GUIDE Lat3_LogW,GUIDE Lat3_Cos,GUIDE Lat4_Contrib,GUIDE Lat4_LogW,GUIDE Lat4_Cos,GUIDE Lat5_Contrib,GUIDE Lat5_LogW,GUIDE Lat5_Cos,GUIDE Lat6_Contrib,GUIDE Lat6_LogW,GUIDE Lat6_Cos,GUIDE Lat7_Contrib,GUIDE Lat7_LogW,GUIDE Lat7_Cos,GUIDE Lat8_Contrib,GUIDE Lat8_LogW,GUIDE Lat8_Cos,GUIDE Lat9_Contrib,GUIDE Lat9_LogW,GUIDE Lat9_Cos,Max_Contrib,Top_Latent,Max_LogW,Num_Significant
lymphoma,1.5394495075477482e-06,0.004288046246007566,0.0009080763524667918,2.289475561836393e-05,0.016769115152844266,0.014722054497354331,4.1643065511579806e-07,0.0022249780034697573,0.0002679066894076582,3.961411222313397e-07,0.0021699613415751932,0.0005786244500929859,2.5811437253702745e-08,0.0005528758331585195,5.26648601459066e-05,3.951446603543364e-06,0.00689026906073797,0.025079423139932056,2.248238252446202e-06,0.0051873044449277156,0.0028437373965064655,1.6498308538321877e-06,0.004439882353898045,0.010457732095193177,7.013822149347011e-09,0.0002881155249609805,4.297976339753159e-06,2.496882184699933e-06,0.005468372588279716,0.0034726484955929734,0.00019058394199523624,GUIDE Lat51,0.050115090175774875,0
cervical cancer,3.3314114736199396e-05,0.020306700288057686,0.021390655654870416,1.900312413087342e-05,0.015252045268779655,0.013301368225412877,2.1966506019167275e-05,0.016419327610549265,0.015382989780864924,1.9055016226811722e-07,0.0015038354208286126,0.0003029668270757252,4.59621102837221e-07,0.002337816516692445,0.001020816332632607,1.4039982027275527e-06,0.004094153983692048,0.009699891565772875,8.326591664269299e-07,0.0031495382747942944,0.001146445267825377,2.2374700670204615e-06,0.00517479346239509,0.015438113410397908,5.658261036014627e-06,0.008257896877977785,0.003774254248133912,8.294499585542842e-07,0.0031434411152825303,0.0012557172700764473,9.54879434253122e-05,GUIDE Lat39,0.034921532276883105,0
uterine/endometrial cancer,7.376092743046297e-08,0.0009350296504842714,2.5515242430199595e-05,1.1090844948576363e-06,0.0036369474008004867,0.0004182283378934867,2.20288111464652e-05,0.01644302599751388,0.008310905392495025,1.4970225468980603e-08,0.00042098810799057223,1.28230580435913e-05,2.026744930144721e-06,0.004923683397808298,0.0024250698701136887,1.26816356866178e-06,0.00389016163918084,0.004720120776404023,2.7540032478683923e-10,5.707633068278302e-05,2.0428102003244326e-07,9.034456329833878e-06,0.010460504313009282,0.033582770918825826,0.00011463532425133013,0.03840254557180304,0.041194965943567904,2.557356436152342e-07,0.0017426499371997286,0.00020857893771602395,0.00026288619262271275,GUIDE Lat27,0.05940901596214296,0
vulval cancer,3.5427120575271174e-05,0.020955604937888,0.026262437592485196,7.356438344151132e-07,0.0029597358139460475,0.0005944868726853511,8.07765527883589e-07,0.0031019322981066214,0.0006530830941592347,2.6121131997398118e-06,0.005593928419833602,0.004794917156104918,1.567386080539672e-06,0.0043269707834144916,0.004019083171870472,1.6725722138587247e-06,0.004470533260371914,0.013341005516014783,1.4350754944297822e-07,0.0013047697327785007,0.00022812042163129607,2.685035888624284e-06,0.0056719759776314325,0.021388998325561445,7.945758358901168e-06,0.009802782091588138,0.006119090627465906,1.9128097027267028e-07,0.0015067214410610383,0.00033433111913623207,4.567270811748694e-05,GUIDE Lat89,0.023868926643580753,0
psychological/psychiatric problem,1.3486602607120507e-05,0.012814251844569705,0.00927069790958184,1.1885847227946562e-05,0.01201911834911691,0.008906672925603902,6.691224808645459e-07,0.0028223039656264334,0.0005016484081342584,2.0322461673889902e-06,0.004930398706878421,0.0034592035520461316,2.3556727078390219e-07,0.0016723879603809486,0.0005601142853032603,6.666988088327163e-07,0.0028171713846897126,0.004931102794856542,2.333569169089176e-07,0.0016645083363618887,0.000343970174114294,5.1074008768899815e-06,0.007841957407091852,0.03772688854244971,3.876453901470136e-05,0.021944025910998387,0.027681960617855227,1.8550186783467404e-11,1.4812447873420498e-05,3.006519421786151e-08,5.91280672247154e-05,GUIDE Lat39,0.027257408330116053,0
bronchiectasis,4.676450550946396e-06,0.007500940109547891,0.002770827839936336,3.06118174562884e-05,0.01944743772017344,0.019772327836863633,1.8954482548864956e-06,0.004760648247126835,0.0012248674037597042,3.502119789071726e-07,0.002039989445842909,0.0005138236967257683,2.318567717913178e-07,0.0016591393190190146,0.00047518728461077073,6.544276206148964e-07,0.002791041373763481,0.004172144340896784,5.75714715687731e-07,0.002617296350256181,0.0007314603101891252,2.855071460205091e-06,0.005849994332574277,0.018178219889061542,6.39959686274269e-05,0.028391670804365582,0.03939110528359133,1.616796889451139e-08,0.00043751368607168443,2.258679026473653e-05,7.413334557802596e-05,GUIDE Lat77,0.030630717712835626,0
cataract,0.0001267376600667978,0.04046547432137691,0.020372532600789754,0.0003975008092950983,0.07410657949438401,0.06965508808782957,9.445878218327382e-08,0.0010582659403982682,1.6560201900795857e-05,2.1274984635039162e-05,0.01615409264695901,0.008468344716392207,1.3875436671262788e-05,0.013000353598000235,0.007715033684833898,2.240757039381092e-06,0.005178615569503747,0.0038755970301776617,9.129262366652354e-09,0.00032872097452139713,3.1467719089345084e-06,3.3563713885269563e-06,0.0063463796895935065,0.0057976303359241485,1.687001518403725e-07,0.001414845665225123,2.8171317893506358e-05,4.048958220129734e-05,0.022439022184969175,0.015345763130815973,0.0007652271981671486,GUIDE Lat92,0.10589217754194394,0
mrsa/methicillin resistant staphylococcus aureus,7.957324149439701e-05,0.03177313815178375,0.03534257483524172,6.332905618883117e-06,0.008741089060366554,0.0030662647035992765,7.292775143362221e-05,0.030372290151885296,0.0353270935232766,1.9229001296626567e-08,0.00047715784876328397,2.1148413898629296e-05,6.691819609287227e-07,0.0028224298096306503,0.0010280806655619376,6.215580651360777e-07,0.0027198251000499813,0.002970416513655874,2.264220246707584e-06,0.005205818620019258,0.0021564532387346675,2.580344509116742e-06,0.005559591034202339,0.01231544201391922,6.604550977002991e-05,0.028857057829485097,0.030473812216131282,4.869858717361996e-07,0.0024065937719692375,0.0005099802485406395,0.0003375675221191161,GUIDE Lat89,0.06788281501704209,0
gastrointestinal bleeding,3.1849783557393454e-05,0.01984540047266301,0.021057019177527385,1.9883931692630567e-05,0.015607641348758028,0.014330724980027626,2.1783856976702735e-08,0.0005078862313533916,1.5707574660714136e-05,8.160542953130972e-06,0.00993587191969338,0.013359782835036355,1.5416108285119695e-06,0.004291070070555129,0.0035254697259393783,7.534677076919139e-07,0.0029954991868797742,0.005359935448796943,1.3147658212789827e-06,0.003961315282337838,0.0018639276557914496,1.319584113680364e-06,0.003968600190863156,0.009374943507709713,1.583357707739597e-05,0.013901311113756273,0.010874813104569609,1.9025119020524512e-06,0.004769558896930364,0.002965675625303542,9.420454156627668e-05,GUIDE Lat77,0.0346771487906258,0
iritis,8.452762351021647e-08,0.001001023878531009,6.752138083707583e-05,2.6285815315619055e-05,0.017992295543384797,0.022889673616831176,2.8298903772286724e-05,0.01868268505080031,0.02465450100093522,4.3038228202527873e-07,0.0022620384567485145,0.0008513085133967093,1.6004007034190896e-07,0.0013779940535974195,0.00044220456325976915,3.266254456571407e-06,0.006259989372749229,0.028073540009034205,3.952958226091067e-07,0.0021676391752127695,0.0006771035960067608,2.3037726736396697e-06,0.005251362000767853,0.019775316924925426,6.995536303620665e-06,0.009191669658725773,0.005805184472169001,2.866215759309854e-06,0.005861476711080916,0.005398304696651644,4.5525661049749616e-05,GUIDE Lat35,0.023829455295235672,0
mitral valve disease,3.189138051308839e-06,0.006185124505760602,0.002154637317887232,5.065339387609746e-05,0.02517209049414544,0.037306533714778704,7.211412438019142e-07,0.0029303178102544885,0.0005313799224525834,1.3859288041583272e-06,0.004067599898974715,0.002318631412521921,1.0135078137572606e-07,0.0010962412245875445,0.0002368534906011515,2.7873251145049623e-06,0.0057797117656794555,0.020262498426252253,8.748797067984476e-06,0.010291858370465682,0.012674751119769132,5.660890251987299e-06,0.008259833252125362,0.04109857528323437,5.6785879341822616e-05,0.02669602138635763,0.039855986896599326,2.295581750830455e-07,0.0016508789635716413,0.00036567854453494185,6.394431677239657e-05,GUIDE Lat72,0.028379852617304458,0
osteoporosis,8.624043232510416e-05,0.03312475534049035,0.009795893022473339,1.2280322761924236e-07,0.001206848064612185,1.5206118895478293e-05,2.6065387268070245e-05,0.017915180845637497,0.003229098099193745,3.1264932534530794e-05,0.01965833137704503,0.008793880119517147,6.351504607112393e-06,0.008754042901374723,0.00249552288144645,1.5187971630824665e-05,0.01361056193706372,0.01856253964052708,3.467241333162582e-06,0.006451111388830204,0.0008445151000116745,1.5311591624163228e-06,0.0042764279895993245,0.0018689368185153578,4.755661984243572e-08,0.0007506296269896281,5.611725790335439e-06,2.58378286838855e-08,0.0005531585903270659,6.919822923474325e-06,0.0019667097509105196,GUIDE Lat92,0.18066764415232417,0
ankylosing spondylitis,1.9802873980250504e-05,0.015575239092398656,0.013212163272654325,6.133868323553839e-05,0.02777773627481981,0.04461240627833901,4.2536731240073763e-07,0.0022487866983884916,0.000309523601350745,3.538820578315167e-07,0.002050675804618066,0.0005846476233246306,5.172006071252598e-07,0.0024803373071621473,0.0011935938276894647,8.699865793770715e-07,0.0032196174164227593,0.006245436103030862,1.7442970455956136e-06,0.004565876914219255,0.0024954932105866246,4.099582230776858e-06,0.007019258000846417,0.029391820308705113,1.8686409757740624e-06,0.00472668103956582,0.0012951615118878994,8.363399283012411e-07,0.0031565169931771215,0.001315631906819521,6.133868323553839e-05,GUIDE Lat1,0.02777773627481981,0
ectopic pregnancy,2.692972286223893e-06,0.005680406658421252,0.0007676789620799084,4.777442567592676e-05,0.024426642223113384,0.01484631673357106,1.8369871836011594e-05,0.014991446807973277,0.005711337566711736,1.7652007571347234e-07,0.0014473199805641265,0.00012460394614568248,4.2360402026110784e-07,0.0022441088538205363,0.00041769536715506524,5.320314676736513e-07,0.0025157499794726096,0.0016318851226926419,2.7274613926109385e-06,0.005716902129887109,0.001667234183605883,2.5723396529702447e-06,0.005550906067229593,0.007879837131546358,0.00016208938023948142,0.04602512839937336,0.04800148473672237,5.51793302405146e-06,0.00815389900711346,0.0037087711661593463,0.0004964141439529708,GUIDE Lat89,0.0835609619706826,0
scoliosis,4.214335429781324e-06,0.007117610058169432,0.0026043649023848904,3.207192243043949e-05,0.01991602228036354,0.021605942663677335,2.6356721961970774e-06,0.005619259368889567,0.0017764299159517462,3.378451352387802e-07,0.0020035636555004338,0.0005169878548990891,2.0618430077938976e-07,0.0015644209048221967,0.00044073765751362424,2.277042840091215e-06,0.005220626185278108,0.015140786805854007,1.0836412106579857e-07,0.0011335846334179893,0.00014359803159001466,1.6556150061499126e-06,0.004447697986379752,0.010994443768178456,0.00018640620354599133,0.049533567194987936,0.11967004384794819,1.9974058893115856e-10,4.860744020701374e-05,2.9103479776662603e-07,0.00018640620354599133,GUIDE Lat8,0.049533567194987936,0
bowel/intestinal obstruction,3.7372095874220576e-06,0.006699435117856962,0.001765987983567969,2.0557140208302427e-06,0.004958945263810305,0.0010589573754904694,9.164457259095905e-06,0.01053639064585088,0.004723141843511495,5.901224086809807e-07,0.002649942759924189,0.0006905137524799257,9.804540508118997e-07,0.003418694159579622,0.001602578695983651,2.44174989254587e-06,0.005407288853153544,0.01241497859844758,4.769312138476563e-07,0.0023815518547786554,0.0004832660380905037,5.785971405682974e-06,0.008351449081886139,0.029380402858260227,1.1522574011087617e-05,0.011831545710055314,0.005656426525156264,4.0892800678387695e-11,2.1992758705533724e-05,4.556097438965053e-08,0.0002090995655685857,GUIDE Lat72,0.052626334673809005,0
eye/eyelid problem,2.334637067215542e-05,0.016936823874317223,0.019473607547409313,5.358595351299845e-05,0.025911096765129208,0.04872518441632547,1.073090874671368e-08,0.00035640324572731635,9.762195191220623e-06,2.761324665961755e-07,0.0018109532742299054,0.000570340806568348,1.4682723648795208e-06,0.004187262989091506,0.0042362881382921715,8.922442213890502e-07,0.0032606953232062366,0.00800783818760897,3.3384605117926444e-06,0.006329301374747254,0.005971226150666636,1.7834715594983512e-06,0.00461713293713739,0.015985800861850155,2.1842422972661515e-06,0.005112509208771198,0.0018926931209686446,4.422975757896987e-07,0.0022932191757129247,0.0008698561811819305,6.315705244274658e-05,GUIDE Lat39,0.028199164864821172,0
ovarian cyst or cysts,4.794967695592988e-06,0.007596211233367581,0.0028477306802004495,3.46520757016501e-05,0.020719791328409856,0.022434581615802664,9.177526859599165e-07,0.00330715234168776,0.0005944602792419031,2.6469887404332815e-06,0.005631387326826676,0.0038927387548209442,5.7923402148550174e-08,0.0008284877436483529,0.00011899237176734553,1.6284593066883942e-06,0.004410886512100477,0.010406259392982826,2.094241097282577e-06,0.005005462919528181,0.0026670437856744513,1.53974111281373e-06,0.004288454342802859,0.009826573529884404,6.58135809389992e-05,0.028804737277641733,0.040605148592431146,4.1345201821503133e-07,0.0022169860592169224,0.0005789541919676599,0.00011432020565489913,GUIDE Lat89,0.0383475291327078,0
nephritis,6.022112749288857e-05,0.02751581209928552,0.04308515452814992,3.7640936717414036e-05,0.02161595500056428,0.029357203737766503,2.001561869544504e-05,0.01566014668861768,0.015618227331090697,4.662136353778373e-07,0.002354568067859727,0.0008259498527429669,2.0448864512909844e-06,0.004945794617332897,0.005060574235992391,6.468135046010096e-07,0.0027747055170595633,0.004979231970599516,1.3737965192546408e-07,0.0012765671191029347,0.00021076156923458987,2.4187755160124325e-06,0.005381633564923775,0.018595827546099872,3.800513494472762e-05,0.02172279868849448,0.028247069954624907,6.603665089990092e-07,0.002803717635939984,0.001113960188965742,9.57421174015341e-05,GUIDE Lat89,0.03496975091768586,0
low platelets/platelet disorder,1.85353317539158e-05,0.015059951040390743,0.012953218896683858,6.648706975292101e-05,0.028956431238143208,0.050651233458229396,3.858689482733689e-07,0.0021415727805645635,0.0002941041283959558,1.3018816559701187e-06,0.003941770120590175,0.0022528837634851534,2.1078022477238834e-06,0.005021735876195084,0.005095174173188836,8.259483558005645e-07,0.003136775061313778,0.006210616920570601,8.90500895907759e-07,0.0032574963948737126,0.0013344488786033604,1.8780443524916544e-06,0.00473862323153986,0.014103417394894223,3.4179113461630015e-06,0.0064047194320078805,0.0024813640672229466,2.2963763480795813e-07,0.0016511651997825393,0.0003783783371335372,6.648706975292101e-05,GUIDE Lat1,0.028956431238143208,0
renal failure not requiring dialysis,1.1775733508821207e-06,0.0037480352952422628,0.0007581765514855797,1.804306607521536e-05,0.014855259583517948,0.012663921538363388,5.894836672812112e-08,0.000835792730210149,4.1394067633763435e-05,3.869439724534295e-08,0.000677029398695261,6.169079998835875e-05,1.9761842596160556e-07,0.0015315216895629602,0.0004401104147036799,1.1041697696954874e-06,0.003628846678865154,0.007649318436171812,2.9093689091409755e-07,0.001858967476772587,0.00040167186480310053,4.133442562954866e-06,0.007048418156602468,0.028597986751747684,5.707656570904172e-05,0.026766279585206366,0.03817618861042496,3.413398370967045e-06,0.006400458820715004,0.005181735189742434,0.00010306208801641262,GUIDE Lat39,0.03633389032654371,0
liver failure/cirrhosis,6.9415733160299396e-09,0.0002866272652275011,4.260736640196586e-06,3.7615025810735864e-05,0.02160833487709837,0.025168865028064237,2.259861492783205e-05,0.01665827651283707,0.015128384234899607,2.89797978580991e-07,0.0018553175607943684,0.00044046566900340375,1.5868777623787277e-06,0.004353925818067744,0.0033691634469052794,1.5848629972021666e-06,0.00435114722443202,0.010467018935234565,4.0006080182072436e-07,0.002180697217988228,0.0005265541211753649,2.1761608819805015e-06,0.0051029874669582375,0.01435353751742812,0.00011447633225594532,0.03837479591655986,0.0729952896815361,4.6950543897906283e-07,0.0023628884066013087,0.0006794746548065379,0.00011447633225594532,GUIDE Lat8,0.03837479591655986,0
acute infective polyneuritis/guillain-barre syndrome,2.1878741098694995e-05,0.01638589032227381,0.01602905233473401,1.9616482580954947e-05,0.01550048666258377,0.01566686663278333,2.0849194702072603e-05,0.01598870873469794,0.016659376802980845,6.402308771461972e-07,0.002760505519366522,0.0011614808924643068,2.949066094026156e-06,0.0059461590344777665,0.007473462400024254,1.7114403669555755e-06,0.004522446271605285,0.01349123779447631,2.892809114486581e-06,0.005888788150047918,0.004544598639643027,2.6011080812782367e-06,0.005582056929028237,0.020477884527723457,1.8067252290918505e-05,0.01486537916589691,0.013750863811834,2.6103703879404126e-07,0.0017606561598718573,0.0004509137824485633,8.957210574249755e-05,GUIDE Lat39,0.033781942440237044,0
meniere's disease,3.653857090166577e-05,0.021289519373775056,0.022871806487118982,2.866763602513671e-05,0.01880655855787398,0.019562136467878754,1.5166969138196845e-05,0.013601003815432168,0.01035456031367701,1.0373248302866192e-08,0.0003504110502523719,1.6078799537552424e-05,1.966992998594732e-06,0.004850155953985666,0.0042589599378162505,8.024353778977622e-07,0.003091644791915369,0.0054045991238837856,5.215534797785238e-07,0.0024907827161692454,0.000700064406444603,3.4102128073403856e-06,0.0063974497212900385,0.022938845979615853,1.2489729220242843e-05,0.012324859246193835,0.008121837343277854,5.540409997876208e-07,0.0025674111374675928,0.0008177050371196142,6.953868751740887e-05,GUIDE Lat89,0.029634916315248356,0
leg claudication/ intermittent claudication,2.480711622750298e-05,0.017468854598081972,0.012767681244404706,5.066810544942588e-05,0.025175847531093268,0.028427973872309418,7.617124563364963e-06,0.00959569308802213,0.004275734758357907,3.15259395151837e-06,0.006149335811185218,0.0040178500506667806,2.5205746547411834e-07,0.0017300475303957486,0.0004487321076473085,1.004032819861929e-06,0.0034597196019564265,0.005560171247219838,2.6505960319691423e-06,0.005635247885197952,0.0029252940842734833,3.6427826769083415e-06,0.006613615652211837,0.02014699072130066,0.00010324666959857934,0.03636769975092987,0.05520318758524312,2.5304947087062974e-07,0.0017334553711897363,0.00030707682511857897,0.00010324666959857934,GUIDE Lat8,0.03636769975092987,0
