	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
46	scarlet fever/scarlatina	27, 78, 23, 73, 1	8.83%	24.88%	35.39%
47	osteoarthritis	20, 51, 54, 8, 83	19.61%	41.48%	53.71%
48	kidney stone/ureter stone/bladder stone	79, 39, 23, 27, 20	9.12%	21.83%	30.08%
49	alcohol dependency	23, 71, 79, 39, 49	13.49%	31.09%	42.27%
50	fracture rib	23, 78, 77, 49, 1	13.07%	24.81%	33.54%
51	other respiratory problems	79, 38, 23, 68, 39	7.73%	21.51%	32.75%
52	bronchitis	23, 78, 16, 49, 30	12.74%	25.74%	34.28%
53	infective/viral hepatitis	23, 79, 27, 49, 78	13.55%	26.42%	36.85%
54	optic neuritis	79, 23, 86, 8, 59	10.68%	25.23%	35.94%
55	adrenocortical insufficiency/addison's disease	23, 27, 64, 30, 73	9.26%	23.26%	33.70%
56	shingles	23, 79, 49, 71, 78	14.35%	32.42%	42.24%
57	osteomyelitis	23, 78, 49, 27, 98	14.17%	25.37%	34.26%
58	miscarriage	83, 79, 68, 73, 49	9.93%	23.33%	33.75%
59	emphysema/chronic bronchitis	72, 86, 74, 79, 39	17.37%	30.26%	38.21%
60	eye trauma	23, 39, 71, 67, 78	12.60%	29.27%	38.52%
61	gastroenteritis/dysentry	23, 49, 79, 22, 27	11.65%	27.56%	40.55%
62	thyroid goitre	39, 71, 59, 99, 17	8.00%	21.39%	33.44%
63	vertigo	23, 78, 79, 1, 49	15.65%	31.08%	43.48%
64	heart failure/pulmonary odema	61, 10, 8, 1, 64	18.59%	34.58%	42.75%
65	gestational hypertension/pre-eclampsia	79, 23, 72, 82, 8	12.37%	28.32%	38.41%
66	chronic sinusitis	23, 78, 71, 37, 72	8.72%	22.73%	31.59%
67	sarcoidosis	78, 23, 80, 49, 39	8.62%	24.72%	36.78%
68	alcoholic liver disease/alcoholic cirrhosis	23, 89, 39, 78, 71	10.15%	20.99%	30.79%
69	gynaecological disorder (not cancer)	23, 39, 1, 78, 79	12.65%	30.19%	38.81%
70	fracture shaft of femur	23, 78, 89, 49, 79	17.17%	33.55%	45.11%
71	prolapsed disc/slipped disc	79, 23, 49, 20, 80	11.59%	26.86%	36.68%
72	dupuytren's contracture	23, 78, 89, 49, 66	15.14%	32.59%	46.32%
73	stress	59, 23, 89, 78, 49	9.42%	23.98%	34.47%
74	iron deficiency anaemia	8, 23, 18, 54, 94	9.29%	20.10%	29.04%
75	haemorrhoids/piles	89, 54, 1, 20, 49	9.24%	21.82%	29.99%
76	oesophagitis/barretts oesophagus	72, 39, 78, 89, 23	20.89%	32.91%	41.51%
77	pituitary adenoma/tumour	23, 49, 71, 39, 79	10.89%	26.75%	35.94%
78	tuberculosis (tb)	72, 79, 82, 23, 49	11.27%	29.69%	40.25%
79	irritable bowel syndrome	72, 39, 38, 79, 83	25.46%	40.74%	52.32%
80	polycythaemia vera	23, 71, 79, 78, 1	11.17%	25.50%	35.94%
81	disorder of adrenal gland	23, 79, 49, 8, 78	12.07%	28.74%	38.02%
82	kidney/renal cell cancer	89, 27, 49, 77, 23	13.03%	26.09%	37.22%
83	bladder cancer	23, 89, 49, 78, 77	15.90%	28.62%	37.91%
84	female genital tract cancer	23, 77, 8, 79, 73	9.05%	21.75%	32.74%
85	eye and/or adnexal cancer	23, 8, 79, 49, 72	14.89%	30.59%	43.60%
86	brain cancer/primary malignant brain tumour	23, 49, 79, 78, 39	13.65%	29.06%	41.19%
87	male genital tract cancer	27, 73, 92, 8, 64	16.86%	42.58%	52.60%
88	ovarian cancer	23, 71, 78, 0, 49	14.79%	32.78%	43.89%
89	fracture vertebra/crush fracture/vertebral collapse	79, 23, 77, 73, 8	12.87%	29.78%	41.75%
90	sciatica	23, 49, 78, 79, 27	10.01%	26.80%	36.74%
91	rectal or colon adenoma/polyps	23, 49, 78, 79, 39	13.42%	29.00%	36.28%
92	diabetic eye disease	23, 78, 89, 82, 77	9.83%	22.73%	32.68%
93	dysmenorrhoea/dysmenorrhea	23, 27, 1, 39, 78	7.71%	19.76%	29.72%
94	septicaemia/sepsis	79, 23, 8, 78, 67	10.70%	26.33%	34.67%
95	testicular problems (not cancer)	82, 77, 23, 89, 8	8.53%	22.48%	35.63%
96	lichen sclerosis	23, 22, 30, 0, 78	12.19%	25.85%	33.87%
97	giant cell/temporal arteritis	22, 59, 71, 23, 35	9.28%	24.38%	33.86%
98	fracture lower leg/ankle	72, 79, 23, 27, 94	7.80%	22.40%	31.91%
99	post-traumatic stress disorder	23, 78, 49, 16, 79	19.78%	36.54%	44.85%
100	myasthenia gravis	23, 79, 78, 49, 58	16.99%	33.98%	44.75%
101	tonsiltis	23, 49, 39, 89, 1	13.15%	27.32%	37.26%
102	type 1 diabetes	23, 78, 58, 89, 49	13.46%	25.52%	36.78%
103	fracture sternum	27, 64, 89, 23, 73	10.20%	23.88%	35.48%
104	parathyroid gland problem (not cancer)	23, 49, 71, 11, 78	8.81%	20.04%	29.22%
105	gastric/stomach ulcers	27, 23, 67, 78, 49	9.56%	24.92%	33.36%
106	parkinsons disease	23, 79, 39, 49, 72	9.76%	24.94%	35.14%
107	bursitis	23, 78, 49, 94, 77	14.67%	36.96%	48.51%
108	endometriosis	38, 80, 79, 23, 20	7.41%	21.24%	32.84%
109	trapped nerve/compressed nerve	23, 89, 49, 67, 79	15.14%	29.52%	40.88%
110	pulmonary embolism +/- dvt	89, 73, 54, 1, 51	12.89%	31.62%	43.32%
111	fracture tibia	23, 79, 49, 82, 81	10.39%	24.66%	35.56%
112	ulcerative colitis	80, 39, 92, 64, 20	12.11%	33.76%	46.42%
113	rheumatic fever	27, 23, 78, 73, 49	11.84%	29.70%	38.71%
114	urinary frequency/incontinence	54, 23, 78, 24, 79	11.45%	26.74%	37.34%
115	retinal problem	23, 71, 79, 78, 45	11.56%	29.20%	41.38%
116	synovitis	23, 78, 72, 16, 49	14.84%	32.19%	41.43%
117	chickenpox	72, 39, 23, 92, 78	10.46%	26.03%	38.82%
118	pleural effusion	23, 78, 1, 49, 54	15.03%	28.47%	38.94%
119	acute myeloid leukaemia	23, 82, 78, 38, 49	13.28%	29.29%	43.48%
120	mouth cancer	23, 78, 49, 0, 39	11.13%	20.69%	28.02%
121	benign breast lump	23, 39, 78, 49, 72	15.64%	31.98%	42.08%
122	thyroiditis	23, 78, 89, 49, 8	14.00%	27.74%	40.72%
123	paraplegia	23, 59, 78, 79, 71	13.15%	25.63%	35.61%
124	aortic dissection	27, 54, 51, 1, 20	67.12%	81.32%	87.32%
125	spinal injury	23, 79, 89, 78, 82	11.90%	26.19%	36.96%
126	peptic ulcer	27, 73, 1, 78, 23	21.17%	35.42%	43.62%
127	hyperthyroidism/thyrotoxicosis	58, 23, 83, 75, 78	60.09%	66.34%	71.60%
128	monoclonal gammopathy/not myeloma	23, 78, 49, 27, 17	16.42%	29.78%	37.31%
129	fracture radius	20, 92, 62, 78, 73	30.00%	44.46%	56.20%
130	otosclerosis	23, 89, 78, 49, 16	14.03%	35.16%	44.67%
131	cervical spondylosis	79, 23, 7, 49, 78	9.07%	23.36%	34.50%
132	sclerosing cholangitis	72, 39, 23, 89, 78	8.87%	25.90%	39.69%
133	aortic aneurysm	27, 54, 51, 1, 20	65.35%	79.66%	85.93%
134	cardiomyopathy	20, 89, 92, 78, 73	13.40%	28.82%	40.56%
135	hereditary/genetic haematological disorder	89, 54, 1, 73, 23	12.39%	32.61%	44.99%
136	tendonitis/tendinitis/tenosynovitis	79, 23, 49, 78, 8	11.37%	31.56%	43.91%
137	cervical intra-epithelial neoplasia (cin)/precancerous cells cervix	23, 79, 49, 78, 8	10.25%	24.23%	37.47%
138	pericarditis	23, 79, 22, 39, 77	10.96%	28.51%	37.01%
139	inguinal hernia	51, 73, 20, 92, 59	52.17%	65.62%	73.39%
140	fracture finger	23, 89, 38, 78, 16	10.59%	20.85%	30.16%
141	cranial nerve problem/palsy	23, 78, 49, 79, 71	18.75%	37.04%	47.25%
142	schizophrenia	72, 23, 79, 83, 78	8.98%	23.09%	33.79%
143	breast disease (not cancer)	39, 79, 22, 71, 77	6.61%	19.09%	30.04%
144	allergy to house dust mite	23, 79, 49, 78, 1	16.82%	44.19%	55.81%
145	hepatitis c	89, 78, 82, 27, 23	16.04%	32.75%	46.63%
146	prostate problem (not cancer)	23, 78, 71, 72, 39	8.83%	21.25%	30.85%
147	fracture face/orbit/eye socket	89, 23, 78, 35, 82	10.21%	24.49%	34.67%
148	menorrhagia (unknown cause)	72, 92, 39, 77, 78	17.39%	38.56%	47.39%
149	blistering/desquamating skin disorder	23, 92, 64, 78, 27	10.95%	22.33%	32.35%
150	fibromyalgia	23, 49, 78, 38, 79	13.35%	24.32%	33.73%
151	post-natal depression	77, 79, 23, 22, 39	8.08%	22.21%	32.24%
152	bell's palsy/facial nerve palsy	23, 78, 39, 49, 71	14.44%	32.08%	42.07%
153	tinnitus/tiniitis	23, 49, 78, 79, 27	10.78%	25.56%	33.79%
154	abdominal hernia	27, 23, 73, 71, 13	10.73%	24.86%	36.69%
155	pericardial effusion	23, 49, 79, 78, 89	14.79%	32.30%	43.63%
156	contact dermatitis	27, 30, 23, 0, 78	8.82%	24.63%	35.13%
157	pyelonephritis	23, 78, 49, 79, 22	16.21%	32.88%	44.67%
158	irregular heart beat	23, 79, 49, 78, 39	13.72%	28.37%	37.64%
159	stroke	23, 8, 49, 58, 78	8.53%	19.43%	29.68%
160	constipation	72, 23, 1, 78, 39	11.32%	22.60%	31.96%
161	disc degeneration	83, 23, 79, 49, 8	13.19%	33.29%	47.40%
162	bph/benign prostatic hypertrophy	23, 82, 49, 77, 79	9.58%	25.03%	37.53%
163	cholelithiasis/gall stones	68, 10, 59, 2, 39	97.30%	97.73%	98.06%
164	cellulitis	27, 25, 98, 90, 72	8.01%	20.29%	30.01%
165	aortic aneurysm rupture	27, 54, 51, 1, 20	62.12%	76.91%	83.73%
166	chronic laryngitis	23, 78, 49, 16, 72	14.70%	36.75%	43.36%
167	eye infection	23, 79, 73, 49, 78	10.70%	26.46%	38.06%
168	thyroid problem (not cancer)	23, 78, 89, 38, 49	10.08%	20.09%	29.72%
169	osteopenia	23, 49, 79, 77, 8	16.86%	30.95%	41.00%
170	myocarditis	79, 23, 49, 77, 82	11.37%	25.03%	35.83%
171	stomach disorder	23, 79, 78, 49, 73	11.71%	27.71%	41.40%
172	respiratory failure	23, 79, 78, 16, 49	15.25%	33.62%	42.97%
173	inflammatory bowel disease	27, 80, 92, 39, 64	10.42%	29.29%	43.93%
174	polymyalgia rheumatica	89, 23, 83, 38, 39	8.59%	23.33%	35.64%
175	psoriatic arthropathy	11, 79, 20, 23, 77	9.26%	26.55%	38.41%
176	dry eyes	23, 49, 27, 78, 71	9.06%	21.41%	32.16%
177	High blood pressure	71, 52, 60, 74, 21	90.74%	95.72%	97.39%
178	other abdominal problem	23, 39, 79, 82, 1	12.36%	27.61%	38.46%
179	back pain	23, 82, 78, 79, 49	9.80%	25.58%	35.84%
180	fracture skull/head	23, 72, 79, 83, 78	14.55%	31.53%	44.54%
181	rectal cancer	92, 72, 20, 79, 39	8.26%	22.84%	34.74%
182	colon cancer/sigmoid cancer	92, 51, 20, 32, 74	9.61%	24.99%	38.19%
183	large bowel cancer/colorectal cancer	92, 64, 51, 71, 80	9.62%	24.77%	36.67%
184	pancreas cancer	23, 79, 78, 67, 71	10.17%	23.28%	33.56%
185	gallbladder/bile duct cancer	23, 78, 49, 89, 79	17.59%	34.63%	45.71%
186	liver/hepatocellular cancer	89, 78, 23, 49, 39	14.52%	36.50%	48.09%
187	gall bladder disease	23, 79, 49, 75, 39	12.88%	27.62%	40.04%
188	hiv/aids	23, 27, 30, 64, 39	8.10%	21.12%	32.14%
189	fracture jaw	82, 27, 30, 22, 23	9.98%	25.32%	35.46%
190	oesophageal varicies	79, 23, 49, 1, 8	13.88%	30.55%	40.42%
191	atrial flutter	61, 94, 1, 3, 63	99.53%	99.67%	99.70%
192	hypopituitarism	23, 78, 49, 71, 0	16.98%	33.30%	43.00%
193	chronic obstructive airways disease/copd	20, 83, 27, 73, 51	16.76%	31.64%	41.72%
194	headaches (not migraine)	23, 49, 78, 99, 79	12.59%	25.33%	34.01%
195	chronic skin ulcers	23, 78, 30, 27, 49	14.07%	25.52%	35.71%
196	Prostate cancer	27, 92, 8, 73, 51	23.49%	44.95%	57.77%
197	subdural haemorrhage/haematoma	23, 16, 78, 72, 49	16.57%	32.65%	45.48%
198	mania/bipolar disorder/manic depression	8, 89, 82, 79, 18	12.90%	28.66%	40.06%
199	abnormal smear (cervix)	89, 82, 77, 79, 73	11.31%	27.11%	36.84%
200	heart valve problem/heart murmur	8, 23, 79, 49, 78	11.31%	31.47%	43.50%
201	disc problem	89, 23, 78, 0, 49	15.26%	36.64%	46.02%
202	back problem	23, 72, 39, 78, 49	8.64%	22.90%	32.22%
203	allergy or anaphylactic reaction to food	23, 79, 78, 49, 16	13.05%	28.54%	37.45%
204	spine arthritis/spondylitis	23, 79, 89, 78, 16	11.46%	27.74%	40.78%
205	deliberate self-harm/suicide attempt	23, 82, 89, 78, 49	14.36%	30.48%	40.81%
206	joint pain	54, 23, 16, 79, 94	5.20%	14.26%	21.85%
207	rosacea	23, 78, 39, 89, 37	11.88%	27.16%	37.21%
208	multiple sclerosis	23, 78, 49, 71, 16	13.86%	33.09%	44.07%
209	nasal polyps	37, 70, 51, 23, 39	52.99%	80.88%	84.35%
210	jaundice (unknown cause)	23, 73, 49, 78, 89	8.36%	21.53%	33.32%
211	pelvic inflammatory disease/ pid	23, 79, 73, 1, 22	11.99%	28.96%	38.77%
212	joint disorder	23, 73, 78, 49, 79	12.17%	30.29%	41.85%
213	skin cancer	75, 18, 2, 58, 79	94.71%	99.28%	99.39%
214	colitis/not crohns or ulcerative colitis	39, 23, 78, 80, 49	11.34%	28.46%	39.25%
215	insomnia	23, 39, 79, 78, 49	15.29%	34.66%	43.88%
216	mitral stenosis	23, 78, 89, 22, 49	17.35%	36.07%	46.13%
217	burns N/A	23, 71, 49, 39, 78	11.91%	26.11%	38.91%
218	malabsorption/coeliac disease	92, 58, 80, 98, 8	10.72%	28.92%	42.12%
219	retinal detachment	9, 23, 78, 49, 75	15.06%	32.02%	41.10%
220	asbestosis	23, 78, 49, 54, 85	18.67%	41.54%	50.64%
221	benign/essential tremor	23, 22, 71, 39, 59	8.69%	21.52%	32.84%
222	brain haemorrhage	82, 23, 27, 79, 77	9.87%	22.00%	33.73%
223	hypertrophic cardiomyopathy (hcm/hocm)	20, 8, 77, 92, 22	14.95%	30.02%	41.77%
224	thyroid cancer	23, 78, 59, 79, 67	11.34%	25.63%	34.92%
225	mesothelioma	79, 23, 86, 49, 22	9.90%	23.86%	33.86%
226	primary bone cancer	79, 23, 49, 86, 38	12.52%	30.10%	39.48%
227	non-melanoma skin cancer	75, 18, 67, 58, 35	96.12%	99.20%	99.30%
228	sarcoma/fibrosarcoma	23, 79, 49, 74, 86	11.97%	27.28%	34.65%
229	bone metastases/bony secondaries	23, 49, 78, 89, 71	17.83%	33.09%	42.18%
230	respiratory/intrathoracic cancer	23, 20, 94, 82, 79	6.33%	18.04%	28.42%
231	hayfever/allergic rhinitis	51, 37, 64, 20, 39	48.34%	85.46%	90.27%
232	aplastic anaemia	23, 39, 78, 49, 71	14.48%	30.84%	40.80%
233	unclassifiable	23, 78, 59, 20, 48	9.84%	24.65%	34.37%
234	spontaneous pneumothorax/recurrent pneumothorax	23, 79, 89, 49, 78	14.91%	30.27%	40.60%
235	depression	92, 20, 11, 79, 73	20.86%	41.90%	51.35%
236	nervous breakdown	23, 89, 59, 78, 1	8.70%	22.81%	32.14%
237	malaria	23, 49, 78, 39, 79	14.26%	28.28%	37.96%
238	renal failure requiring dialysis	23, 78, 89, 49, 27	11.92%	30.97%	42.45%
239	mumps/epidemic parotitis	89, 23, 78, 27, 77	9.21%	25.63%	37.51%
240	bile duct obstruction/ascending cholangitis	72, 23, 39, 71, 78	8.66%	24.35%	35.32%
241	polio/poliomyelitis	23, 71, 89, 78, 49	15.36%	28.34%	39.47%
242	transient ischaemic attack (tia)	61, 23, 78, 27, 49	16.21%	41.45%	48.18%
243	varicose veins	20, 11, 59, 86, 75	37.29%	51.57%	60.75%
244	spinal stenosis	79, 23, 49, 73, 27	12.27%	27.90%	37.10%
245	urinary tract infection/kidney infection	23, 73, 89, 27, 20	7.91%	19.16%	29.86%
246	vaginal prolapse/uterine prolapse	18, 68, 54, 94, 75	8.95%	22.54%	33.03%
247	fracture neck of femur/hip	23, 89, 39, 27, 78	11.66%	26.84%	37.59%
248	tongue cancer	23, 78, 79, 49, 39	16.46%	31.52%	44.54%
249	oesophageal cancer	72, 23, 83, 38, 45	8.33%	19.32%	27.74%
250	parotid gland cancer	23, 78, 49, 89, 22	13.08%	30.89%	43.61%
251	stomach cancer	49, 23, 79, 78, 72	11.25%	31.62%	43.37%
252	small intestine/small bowel cancer	23, 78, 79, 49, 71	14.13%	30.01%	40.58%
253	Bowel cancer	27, 0, 23, 79, 94	9.12%	23.95%	35.80%
254	fracture wrist/colles fracture	23, 78, 89, 49, 81	13.50%	32.45%	42.74%
255	cerebral aneurysm	23, 59, 94, 1, 49	11.12%	24.11%	35.37%
256	menopausal symptoms/menopause	23, 78, 71, 89, 79	17.71%	32.45%	43.83%
257	glaucoma	6, 92, 72, 27, 20	65.78%	73.44%	78.45%
258	gastritis/gastric erosions	68, 23, 79, 78, 27	13.62%	29.37%	40.19%
259	umbilical hernia	20, 23, 78, 1, 86	11.98%	29.59%	38.76%
260	essential hypertension	74, 52, 71, 83, 60	88.43%	95.42%	97.10%
261	epicondylitis	8, 79, 67, 23, 68	8.65%	23.75%	34.79%
262	encephalitis	23, 89, 78, 49, 0	13.19%	31.24%	40.71%
263	aortic stenosis	10, 1, 23, 78, 74	12.78%	24.43%	34.55%
264	pyloric stenosis	23, 8, 22, 2, 35	7.50%	20.09%	27.62%
265	carpal tunnel syndrome	20, 29, 92, 16, 7	34.71%	50.67%	56.88%
266	renal/kidney failure	23, 74, 59, 49, 20	13.46%	23.56%	32.87%
267	fracture thumb	23, 78, 71, 49, 18	12.75%	28.70%	38.60%
268	polycystic ovaries/polycystic ovarian syndrome	89, 82, 8, 38, 49	15.15%	30.38%	39.83%
269	fracture upper arm/humerus/elbow	89, 23, 79, 82, 49	12.23%	29.26%	40.59%
270	fracture patella/knee	23, 78, 89, 71, 49	10.37%	24.56%	36.14%
271	vasculitis	23, 79, 59, 49, 22	7.63%	18.88%	28.71%
272	rectal prolapse	23, 78, 27, 71, 84	12.87%	23.81%	33.38%
273	retinal artery/vein occlusion	23, 73, 79, 49, 11	10.55%	24.72%	35.55%
274	duodenal ulcer	23, 8, 72, 10, 78	9.43%	24.61%	36.68%
275	blepharitis/eyelid infection	23, 78, 1, 0, 49	10.01%	25.50%	35.71%
276	systemic lupus erythematosis/sle	23, 78, 49, 71, 66	12.94%	28.46%	36.57%
277	other neurological problem	23, 78, 68, 49, 27	13.01%	30.07%	40.47%
278	muscle/soft tissue problem	38, 89, 83, 72, 23	12.47%	29.46%	41.98%
279	disorder or pituitary gland	23, 89, 82, 39, 99	14.17%	28.66%	39.50%
280	peritonitis	89, 23, 49, 78, 79	10.19%	25.37%	34.68%
281	polycystic kidney	23, 22, 77, 49, 79	8.73%	20.65%	30.27%
282	anaemia	78, 23, 58, 38, 2	7.33%	19.28%	28.27%
283	undescended testicle	23, 79, 49, 78, 41	15.39%	30.23%	38.14%
284	muscle or soft tissue injuries	89, 23, 82, 79, 49	9.39%	24.00%	33.15%
285	peripheral nerve disorder	23, 79, 78, 49, 16	23.76%	41.02%	49.39%
286	Alzheimer's disease/dementia	72, 10, 18, 8, 54	87.52%	90.67%	92.47%
287	Parkinson's disease	91, 23, 76, 90, 49	10.41%	21.92%	31.14%
288	hyperparathyroidism	23, 78, 49, 79, 27	13.70%	29.28%	41.83%
289	labyrinthitis	89, 23, 38, 79, 78	8.98%	21.87%	31.20%
290	clotting disorder/excessive bleeding	73, 1, 54, 89, 51	12.77%	34.48%	46.71%
291	liver/biliary/pancreas problem	23, 67, 79, 27, 89	11.09%	26.58%	36.01%
292	ureteric obstruction/hydronephrosis	23, 80, 78, 39, 49	15.11%	26.90%	37.12%
293	heart arrhythmia	72, 20, 23, 79, 38	7.24%	20.87%	31.66%
294	peripheral nerve injury	82, 27, 49, 23, 30	9.99%	24.77%	35.96%
295	food intolerance	23, 79, 8, 78, 49	15.37%	30.10%	40.05%
296	heart/cardiac problem	49, 23, 78, 41, 39	9.85%	25.03%	36.27%
297	spina bifida	23, 89, 78, 49, 27	14.20%	35.48%	49.18%
298	migraine	20, 38, 92, 62, 0	36.06%	49.09%	57.95%
299	enlarged prostate	23, 39, 49, 78, 72	12.50%	28.46%	42.16%
300	pulmonary fibrosis	79, 23, 32, 49, 72	10.90%	24.30%	33.43%
301	fracture forearm/wrist	20, 92, 23, 73, 78	26.41%	43.52%	54.18%
302	cerebral palsy	23, 79, 49, 7, 78	20.06%	38.79%	49.56%
303	myositis/myopathy	23, 49, 71, 78, 77	9.79%	24.96%	35.32%
304	malignant melanoma	18, 75, 72, 79, 8	63.19%	89.89%	91.69%
305	chronic myeloid	23, 73, 1, 27, 59	11.07%	27.54%	38.49%
306	chronic lymphocytic	31, 23, 8, 79, 77	12.92%	27.95%	38.88%
307	hodgkins lymphoma/hodgkins disease	23, 39, 89, 78, 10	14.82%	30.59%	40.56%
308	non-hodgkins lymphoma	23, 22, 80, 79, 13	10.02%	20.74%	29.92%
309	multiple myeloma	23, 39, 78, 27, 0	9.82%	23.52%	35.05%
310	other renal/kidney problem	23, 49, 79, 78, 8	11.91%	30.57%	38.96%
311	spinal cord disorder	23, 49, 79, 78, 67	17.46%	30.84%	38.06%
312	uterine fibroids	72, 38, 62, 39, 94	9.61%	20.51%	29.50%
313	pneumonia	72, 38, 23, 79, 78	12.75%	24.80%	33.04%
314	pleurisy	23, 78, 79, 49, 81	11.12%	30.05%	38.80%
315	sick sinus syndrome	61, 23, 79, 59, 49	14.26%	34.38%	44.90%
316	psoriasis	51, 20, 8, 58, 89	29.92%	52.14%	59.49%
317	lichen planus	23, 89, 78, 72, 49	16.07%	35.86%	46.95%
318	emphysema	92, 68, 80, 23, 20	14.09%	30.09%	41.87%
319	rheumatoid arthritis	58, 73, 23, 86, 72	27.70%	40.01%	49.92%
320	lymphoedema	89, 23, 78, 39, 49	15.29%	29.72%	40.06%
321	mitral valve prolapse	72, 23, 38, 83, 79	9.43%	25.54%	39.18%
322	ear/vestibular disorder	72, 39, 23, 38, 78	19.56%	35.13%	49.10%
323	macular degeneration	23, 89, 78, 49, 8	12.22%	31.62%	42.05%
324	epilepsy	23, 78, 49, 79, 81	14.88%	32.41%	42.36%
325	acne/acne vulgaris	23, 79, 49, 78, 77	16.96%	35.08%	45.72%
326	hepatitis	23, 78, 49, 7, 89	18.32%	30.93%	40.46%
327	benign neuroma	23, 78, 77, 49, 11	15.73%	31.09%	39.61%
328	gout	59, 99, 8, 38, 39	84.98%	89.94%	91.79%
329	rubella/german measles	23, 78, 1, 49, 71	14.25%	29.75%	42.01%
330	cholecystitis	68, 10, 2, 1, 59	96.99%	97.56%	97.89%
331	herpes simplex	23, 39, 78, 71, 49	14.17%	31.37%	43.93%
332	erectile dysfunction/impotence	23, 78, 39, 49, 79	15.70%	27.92%	38.77%
333	interstitial lung disease	23, 78, 79, 89, 30	18.86%	35.46%	43.06%
334	diabetes	15, 72, 73, 27, 20	82.41%	92.56%	94.22%
335	arterial embolism	78, 23, 64, 20, 49	10.09%	24.42%	33.71%
336	diabetic neuropathy/ulcers	23, 78, 49, 79, 22	18.01%	37.34%	45.61%
337	helicobacter pylori	82, 79, 8, 27, 89	10.95%	26.22%	36.33%
